check	issue	state	relevant	classification	owner	status	reason	linked_prs	linked_refs	provider_commit_refs	provider_mentioned_commit_refs	upstream_test_provenance	local_coverage	local_test	verification_command	last_checked_at	next_action	title	url	claim	concept_ids	current_source_truth	source_evidence	proof_relation	proof_evidence	changes_audit	audit_change	body_sha256	timeline_sha256	semantic_sha256	timeline_events
[x]	21	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source policy is present; layout-sensitive proof is absent.		wordgard@4aec64b60180217b0206ba0e0efcdfe2a03c4bd8	4aec64b60180217b0206ba0e0efcdfe2a03c4bd8	4aec64b60180217b0206ba0e0efcdfe2a03c4bd8	../wordgard/test/test-selection.ts:102-219	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add a fixed-width Chrome/Firefox soft-wrap motion row.	Caret drawn after the trailing space when arrowing across a soft wrap	https://code.haverbeke.berlin/wordgard/wordgard/issues/21	Horizontal motion across a soft wrap drew the caret after collapsed trailing whitespace.	WG-CMD-003E2; WG-STATE-011B; WG-STATE-013	Fixed by forward-biasing logical motion except at bidi boundaries; current logical movement returns a forward side.	../wordgard/src/state/textblock.ts:215-227	Retained unit-test source covers logical and bidi movement, but the observed execution is stale-dist and no browser soft-wrap caret regression is retained.	../wordgard/test/test-selection.ts:102-219	no	Confirms the cursor-side policy but does not change the current architecture verdict.	eff0a0c170a5a2d3d0e1d33894a699f7f6024c544b90c74e02b73be4621a561e	839c0bc4ba8d73d798ef70c2d0526be48dae881e5e4a0646cecb57bffc13f952	4c7e226fc3626f6a1f822f17733470d630ba7d68161e93250fad8974b609b7f9	3
[x]	22	CLOSED	yes	fixed	external-framework	deferred-with-owner	Broad source fix exists without one exact cross-surface proof.		wordgard@53b5cec556c73dd5; wordgard@d2f3f740d2adf1f7c19aede12a3ad947ef6b6d3f	d2f3f740d2adf1f7c19aede12a3ad947ef6b6d3f	d2f3f740d2adf1f7c19aede12a3ad947ef6b6d3f		none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Exercise keyboard, menus, paste/drop, history, and table mutations under readOnly.	`GardState.readOnly.of(true)` only partially working	https://code.haverbeke.berlin/wordgard/wordgard/issues/22	readOnly prevented only some mutation paths, while menus and commands could still edit.	WG-STATE-003A; WG-CMD-002B; WG-VIEW-010B1; WG-VIEW-014B	Fixed across command, menu, input, history, schema, and table owners. Text selection remains allowed by design; focusability/editable is a separate facet.	../wordgard/src/state/state.ts:823-835; ../wordgard/src/command/commands.ts:20-305; ../wordgard/src/editor/input.ts:591-603	The current test tree contains no cross-surface readOnly contract test.	../wordgard/src/state/state.ts:823-835	no	Confirms readOnly is authoring policy, not selection/focus policy; no winner changes.	c703ca7c4cfa154e706a8300da7e9b3005b4dd8593c0fbe8815118e8d53a4f0c	eef4c025cd0b942f6be1f59d2582ae36ae0a5ecc7e3c52bafdb9b9d5ced17813	1e9893491595dfda3d77267e4bf5cf4224a1cd77b5068cd179904e81118ce5e0	5
[x]	23	OPEN	yes	open	external-framework	needs-repro	The issue remains open and requires a real iOS keyboard/device lane.		wordgard@01eb2b5eae509509677345fd603acad001827dff	01eb2b5eae509509677345fd603acad001827dff	01eb2b5eae509509677345fd603acad001827dff	../wordgard/test/webtest-composition.ts:180-187	none; external-source semantic audit		bun test:mobile-device-proof:raw	2026-08-01T13:53:58.862Z	Reproduce on current iOS, capture event/DOM/model trace, then retain a raw-device row.	Extra space at start of line with iOS swipe input	https://code.haverbeke.berlin/wordgard/wordgard/issues/23	iOS swipe input at line start can insert an extra leading space through stale autocapitalization context.	WG-VIEW-009A; LOCAL-NATIVE-INPUT-RECONCILIATION; WG-VIEW-010B1; WG-PROOF-004C	Open. Wordgard now delegates Enter and Backspace to native input on iOS/Android, but the maintainer explicitly describes this as mitigation rather than a complete autocapitalization fix.	../wordgard/src/editor/input.ts:710-713; ../wordgard/src/editor/input.ts:812-840	Only the issue recording exercises the symptom; no raw iOS regression exists.	../wordgard/test/webtest-composition.ts:180-187	yes	Hard evidence that Wordgard mobile-input correctness and proof are partial, not exact.	7f8b5f714582c680d851ec25acaa699e653fe456c0d1b776bf292f7216af78f8	05a37533b8c4d2640c117a6743e055227f8656d9458ee3ce6eec2acc31c1a9a8	60ed3df1b5ed16660cec8d0462a1023dc7c1a2cd0cc7c99d0774e04d3fd768b8	2
[x]	24	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix exists without device proof.		wordgard@01eb2b5eae509509677345fd603acad001827dff			../wordgard/test/webtest-composition.ts:180-187	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Retain iOS swipe-word then Backspace behavior on a raw device.	iOS swipe input deleted character-by-character	https://code.haverbeke.berlin/wordgard/wordgard/issues/24	iOS swipe-input backspace deleted a word character-by-character instead of honoring native word deletion.	WG-VIEW-009A; WG-VIEW-010B1; WG-PROOF-004C	Fixed by delegating mobile Backspace to beforeinput/native behavior rather than intercepting keydown.	../wordgard/src/editor/input.ts:710-713; ../wordgard/src/editor/input.ts:812-840	No raw iOS swipe/backspace regression is retained.	../wordgard/test/webtest-composition.ts:180-187	yes	Adds a mandatory swipe-backspace case to the raw mobile proof dossier; source policy alone is insufficient proof.	15516b7d0ae4f027b4804fe3f4f1226422e220da3879da69afe2525154cf9b51	d19d74646e12458abc8eec8b0014a2895054df3889723b3c6cb08bb163857769	7915bcf28783cb6b34330af69b624c4d50e6dc73e77e3c804692346da66cda1f	2
[x]	25	CLOSED	yes	fixed	external-framework	deferred-with-owner	Current source is fixed; exact browser proof is absent.		wordgard@1fce5f61a82a1ed5f949f14004027270adc0bffc	1fce5f61a82a1ed5f949f14004027270adc0bffc	1fce5f61a82a1ed5f949f14004027270adc0bffc	../wordgard/test/test-selection.ts:88-94	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add editable inline-plot cursor entry, edit, and exit browser coverage.	Error when moving cursor through inline plot	https://code.haverbeke.berlin/wordgard/wordgard/issues/25	Cursor entry/exit through an inline plot with inline content produced an index error and blocked editing.	WG-STATE-011A; WG-STATE-011B; WG-VIEW-006A	Fixed. TextblockMap.toIndex clips and advances atom/structural sections without the prior negative-offset error.	../wordgard/src/state/textblock.ts:100-120	Selection unit tests cover inline-content nodes, but no exact browser editing/cursor regression for the reported plot exists.	../wordgard/test/test-selection.ts:88-94	yes	Qualifies the textblock-projection proof: the mechanism is present, but nested inline-content browser behavior has only adjacent coverage.	827d19112a0f7efeef54090418302d203e29282a5f159a08ee15ef1e086817dc	33583c970b5e60e5f7a9d1635b3e109190c3dec8fdaaa03076d31225bfd0c6a9	1056c95a6d14793a66780f888e8b39b236002f175046d6573315af007ff3f858	3
[x]	26	CLOSED	yes	fixed	external-framework	deferred-with-owner	The exact upstream test source exists, but no run executes it against frozen-head runtime artifacts.		wordgard@8fd8880d1a16bc6306b1e59f8649b1d9021e3d1e	8fd8880d1a16bc6306b1e59f8649b1d9021e3d1e	8fd8880d1a16bc6306b1e59f8649b1d9021e3d1e	../wordgard/test/webtest-serialize.ts:219-262	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Repair the current build, resolve test imports to rebuilt current-head output, and rerun the exact row with module-resolution proof.	Pasting code from vscode to wordgard editor cause an error.	https://code.haverbeke.berlin/wordgard/wordgard/issues/26	Pasting VS Code block HTML could crash parse.slice and corrupt the rendered editor.	WG-DOC-015C; WG-VIEW-010C2	Fixed. Slice parsing avoids closing the top parse context and chooses a block parent when unmatched input contains multiple blocks.	../wordgard/src/doc/parse.ts:281-293; ../wordgard/src/doc/parse.ts:522-552	Exact parser regression source covers multiple unmatched block elements. The observed 733-test run imported ignored dist built at 01eb2b5, seven commits behind frozen head, so it is not current-head execution proof.	../wordgard/test/webtest-serialize.ts:219-262	yes	Downgrades current-head parser proof to partial: fixed source and exact regression source exist, but the only observed execution is stale-dist.	f093d9be40a951036b5740d13443eb6abdf3177e847c24a09795c430eebb539e	12a9af1a131b536c620ad58558b52434cec018a7b3e4e96e28b25f971903f9d9	a274319d00b199ccb715a8bfa0d8e2e5f8556daa1182225d132c41c9a19ac4df	3
[x]	27	OPEN	yes	open	external-framework	deferred-with-owner	A one-paragraph donor issue is insufficient evidence for a Plate/Plite public API.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Defer for research; gather concrete menu, keyboard, screen-reader, and help-surface requirements before API design.	Make key bindings discoverable, somehow	https://code.haverbeke.berlin/wordgard/wordgard/issues/27	Active key bindings are not discoverable to pointer, keyboard, or screen-reader users.	WG-CMD-004B; WG-VIEW-014B	Open. Key bindings compile into handlers and menu items expose descriptions, but menu metadata does not link active shortcuts and there is no binding-help surface.	../wordgard/src/command/menu.ts:16-68; ../wordgard/src/editor/keymap.ts:1-180	No discoverability/accessibility implementation or proof exists.	../wordgard/src/command/menu.ts:39-42	yes	Adds an issue-derived accessibility requirement for resolved active-shortcut metadata and discovery, while retaining insufficient evidence for a public API.	229d189c9ea7138c651f1a120e3673885339982e604085fc890269212ca5c46c	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	5d2a985a7a6851870d269de03ece41c38368a3bb3edcdc707441d43b87fa0c2c	0
[x]	28	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source guard exists; recovery integrity is explicitly unproved.		wordgard@4a04555e4230f55d2866ff191343bbd223e0c6dc	4a04555e4230f55d2866ff191343bbd223e0c6dc	4a04555e4230f55d2866ff191343bbd223e0c6dc	../wordgard/test/webtest-editor.ts:59-69	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Inject failures in takeDirty, projection, plugin update, read, and write phases and assert the intended recovery contract.	Editor silently stops applying input after an exception during flush()	https://code.haverbeke.berlin/wordgard/wordgard/issues/28	An exception before the flush try/finally stranded the editor in flushing state and rejected every later dispatch.	WG-VIEW-002; WG-VIEW-016A	Fixed narrowly. takeDirty and viewState.flush now run inside try/finally, so the flushing flag is restored; the maintainer explicitly warns that a mid-update exception may still leave corrupted editor state.	../wordgard/src/editor/editor.ts:200-235	No regression injects a pre-update flush exception and proves recovery or state integrity.	../wordgard/test/webtest-editor.ts:59-69	yes	Downgrades any broad fault-recovery reading: Wordgard restores the scheduler flag, not transactional editor state.	e80d1508f5b7807f8e7810f73177f8ead2a3e3ec89255b5e88a28bf1bf88dbce	432cd995f00e72cb238427a48496ccda9268c2f61645f46b2f0af29f3785c807	69451124897f4d2241221c0004421934eea48bb77dd5bcb49b792bc3b739c65a	4
[x]	29	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix and adjacent tests exist; the exact root mutation is untested.		wordgard/timeline-orphan@b518ddb13a9eba1b34fc99fa2223e6a288127f14; wordgard@3f13e9f51d0ef2d08b000c5edf16cfed219dce1c	b518ddb13a9eba1b34fc99fa2223e6a288127f14; 3f13e9f51d0ef2d08b000c5edf16cfed219dce1c	b518ddb13a9eba1b34fc99fa2223e6a288127f14; 3f13e9f51d0ef2d08b000c5edf16cfed219dce1c	../wordgard/test/webtest-editor.ts:35-57	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add a root attribute mutation row and document facet ownership.	Setting any attribute on `contentDOM` crashes mutation processing	https://code.haverbeke.berlin/wordgard/wordgard/issues/29	Direct attribute writes on contentDOM crashed MutationObserver processing at the root tile.	WG-VIEW-008A; WG-VIEW-013D	Fixed. Root-tile attribute mutations are ignored; the supported ownership path remains the contentAttributes facet, which may overwrite direct embedder writes.	../wordgard/src/editor/domobserver.ts:198-222; ../wordgard/src/editor/editor.ts:321-327	Tests cover facet-provided content attributes and child attribute repair, not a direct root contentDOM mutation.	../wordgard/test/webtest-editor.ts:35-57	yes	Clarifies ownership: root attributes are declarative facet state, while direct host mutations are tolerated but not authoritative.	868019918cfa73464ea1ba151aa3c18a5bf440782d2cccfcd9e4cd0cdd3bdb4c	a6f27f62491698c0a679d320eaca47fbe2f04b83c8d6092677f87a0e2e064128	a72b7866e9ba39893b96520b32297c1bdf1437edce68ab6fea05833f0842f3ed	5
[x]	30	CLOSED	yes	fixed	external-framework	deferred-with-owner	Source fix exists without exact retained proof.		wordgard@c715d4ded8fc780f52c13206e589ea31e4148dd4	c715d4ded8fc780f52c13206e589ea31e4148dd4	c715d4ded8fc780f52c13206e589ea31e4148dd4	../wordgard/test/webtest-content.ts:397-413	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Add direct compare symmetry and wrapper-added-style browser assertions.	Attributes.compare doesn't score attributes that only exist in the new element	https://code.haverbeke.berlin/wordgard/wordgard/issues/30	Attributes.compare ignored attributes present only in the new element, preventing wrapper restyling.	WG-DOC-014A; WG-VIEW-005C1	Fixed at the frozen head. The comparison now penalizes unmatched attributes after the old list is exhausted.	../wordgard/src/doc/shape.ts:266-299	No exact Attributes.compare or added-attribute wrapper regression was added with the fix.	../wordgard/test/webtest-content.ts:397-413	no	The frozen source includes the fix; issue #31, not this closed row, changes the decoration-invalidation verdict.	f24647facb4795215a47b0708ee44d112f6573b49b1b44ad413ec9819fe3c815	3be3c432c0f2be70558b4289354ac086ee360f14d46c71da93cbd6215c164932	8edde73fab91609bca451b3da005ea936cd335c59898eb149fe47bfb4efc5a0e	3
[x]	31	OPEN	yes	open	external-framework	deferred-with-owner	The donor bug has an exact reproduction and remains open; this audit must record rather than patch it.					../wordgard/test/webtest-content.ts:259-395	none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Fix the open-range comparison and retain the issue reproduction as a browser regression.	RangeSet.compareRange misses ranges that start before the compared window	https://code.haverbeke.berlin/wordgard/wordgard/issues/31	RangeSet.compareRange skips a range that starts before the compared window and extends into it.	WG-VIEW-005C1; LOCAL-LAYOUT-GEOMETRY	Open and reproduced by inspection at the frozen head. Both scans start at the first range whose start is inside the window, so an already-open range is omitted.	../wordgard/src/editor/decoration.ts:849-880; ../wordgard/src/editor/decoration.ts:989-1035	The exact issue is absent from retained Chrome test source, and the observed 733-test execution resolved stale dist; neither proves spanning-range invalidation at frozen head.	../wordgard/test/webtest-content.ts:259-395	yes	Material downgrade: Wordgard decoration invalidation is partial with a known correctness defect, and pagination-style wrapper reuse cannot cite it as exact.	f48dbf20558441b26c1a499825f799ebe7f44032981a3141711206f311123e8c	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	51cfedac5b0128746710a884afca6e828edc13636d2d07416cbdd4121368be06	0
[x]	32	OPEN	yes	open	external-framework	deferred-with-owner	Exact current source failure belongs to Wordgard and blocks release-quality proof.		introduced-by wordgard@4082fc3				none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Repair schema exports/imports and make bin/build.ts propagate typecheck failure.	main doesn't build: unresolved names in src/schema/code.ts	https://code.haverbeke.berlin/wordgard/wordgard/issues/32	The frozen main branch does not typecheck because schema/code.ts has unresolved names and schema/index.ts exports a missing symbol.	WG-META-001; WG-META-002; WG-PRODUCT-002	Open and directly reproduced. enter and CodeBlockLanguage are not imported, codeBlockLanguage is not defined, and InputRule is unused.	../wordgard/src/schema/code.ts:1-56; ../wordgard/src/schema/index.ts:10-13	npx tsc --noEmit fails with five errors. npm run prepare prints the same failure but exits zero, so the build script is false-green.	../wordgard/src/schema/code.ts:1-56; ../wordgard/src/schema/index.ts:10-13; ../wordgard/bin/build.ts:1-120	yes	Material downgrade: current Wordgard build/declaration/package proof is failed, and prepare cannot be treated as a trustworthy gate.	24f7a7512fb04ce9521e47615bac5cf87866130c79b003cb8489778a11dd1b7c	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	88eb0ee599a3119947a28f72ec85bafe5804717901db13ceaf97e4266b9fff0c	0
[x]	33	OPEN	yes	open	docs-support-release	deferred-with-owner	Open website integration bug; no local Plate/Plite source change is authorized.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Choose mark projection and tooltip arbitration ownership, then add the reported interaction row.	Adding link on footnote superscript has buggy tooltips	https://code.haverbeke.berlin/wordgard/wordgard/issues/33	Applying a link to a footnote superscript can create overlapping outer-link and nested-footnote tooltips with unstable interaction.	WG-PRODUCT-003D2; WG-VIEW-014C1; WG-INTEGRATION-NESTED-001	Open. Link tooltip computation accepts any linked node before the cursor, while the footnote example separately projects a tooltip-hosted inner editor; neither owner excludes or coordinates the other.	../wordgard/src/schema/link.ts:45-73; ../wordgard-website/site/examples/footnote/footnote.ts:52-160	The issue contains manual visual evidence; no nested-tooltip interaction test exists.	../wordgard-website/site/examples/footnote/footnote.ts:52-160	yes	Adds a concrete nested-editor/tooltip ownership defect; the footnote example is not complete integration proof.	52c258cf342d76dc43a2d7dccf4c5ad14b6c54f0bd2255011b57fd6cf6baf544	b6c738d5da2a8eba98dd0c9a17455a17c9cf6c9a70fd452545ba806e58cf77db	a08d3c7bf2c93610396210de4b1493d4d8a2506095c73e156470ea59252074da	2
[x]	34	OPEN	yes	open	external-framework	deferred-with-owner	Open donor API/product decision.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	Decide true modal versus explicitly non-modal semantics and prove focus, inertness, cancellation, and layout stability.	Suggestion: Make dialogs more modal	https://code.haverbeke.berlin/wordgard/wordgard/issues/34	Dialogs are non-modal panels, so the editor, selection, and other controls remain mutable while a dialog awaits resolution.	WG-VIEW-014A2	Open. Dialog.show appends panel constructors to a field and renders a custom wg-dialog element; it does not use HTMLDialogElement, inert state, or selection/update locking.	../wordgard/src/editor/dialog.ts:37-108; ../wordgard/src/editor/dialog.ts:110-180	Manual issue evidence only; no modal focus/inertness test exists.	../wordgard/src/editor/dialog.ts:110-180	yes	Downgrades Wordgard dialogs from a complete dialog contract to a panel/promise primitive without modal interaction guarantees.	d328bc01c55a18227adfa875509c30b88dc759cf6a1d3a186b1e81f3dde4a411	33389c132c13b6e99d878ec169373fec7e272686db52998c5c792ce1301c8689	6ff0decb8f68737a9730de19219e9aa2ba2d6c472a20a922f72d3c35634cb2ba	1
[x]	35	OPEN	yes	open	external-framework	deferred-with-owner	Open donor product request, not a current invariant.						none; external-source semantic audit		node docs/editor-issue-harvester/wordgard/full/build-closure-ledger.mjs	2026-08-01T13:53:58.862Z	None for Plate/Plite without a separate product/API decision.	Suggestion: Make link editor a tooltip instead of dialog	https://code.haverbeke.berlin/wordgard/wordgard/issues/35	The link editor is a top panel dialog rather than an anchored editable tooltip.	WG-PRODUCT-003D1B; WG-PRODUCT-003D2; WG-VIEW-014C1	Open preference request. Link creation/editing uses Dialog.show; the existing link tooltip only renders the target as a read-only anchor.	../wordgard/src/schema/link.ts:8-42; ../wordgard/src/schema/link.ts:45-98	No editable link-tooltip implementation or proof exists.	../wordgard/src/schema/link.ts:45-98	no	Product taste request; it does not establish a superior reusable mechanism by itself.	be5757cbdd4ab568558d5e8e2a97c453d79ff904b8c645e26e9185c360d8b155	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	1074f442744428af2ad85bafc53fd8170b7682fdb17fd036d5c9143017f84744	0
